Bump 'n' Jump,NTSC - Points,Nintendo Entertainment System,"168,120",David Stuart
Bump 'n' Jump,NTSC - Points,Nintendo Entertainment System,"144,300",Patrick Stanley
Bump 'n' Jump,NTSC - Points,Nintendo Entertainment System,"126,900",Jason Kelly
Bump 'n' Jump,NTSC - Points,Nintendo Entertainment System,"125,560",Nik Meeks
Bump 'n' Jump,NTSC - Points,Nintendo Entertainment System,"110,300",Ron Corcoran
Bump 'n' Jump,NTSC - Points,Nintendo Entertainment System,"78,320",Mr. Kelly R. Flewin
Burai Fighter,NTSC - Points,Nintendo Entertainment System,"1,483,000",Eric Cummings
Burai Fighter,NTSC - Points,Nintendo Entertainment System,"191,730",Michael Hanson
Burai Fighter,NTSC - Points,Nintendo Entertainment System,"71,280",Patrick Scott Patterson
Burai Fighter,PAL - Points,Nintendo Entertainment System,"61,410",Wouter Lugtenaar
Burger Time,NTSC - Points,Nintendo Entertainment System,"2,078,500",Matthew Grimm
Burger Time,NTSC - Points,Nintendo Entertainment System,"225,650",Christopher Jedrzejek
Burger Time,NTSC - Points,Nintendo Entertainment System,"73,400",Patrick Scott Patterson
Burger Time,NTSC - Points,Nintendo Entertainment System,"59,550",Eric Cummings
Burger Time,NTSC - Points,Nintendo Entertainment System,"17,100",Asa Cooney
Burger Time,NTSC - Points,Nintendo Entertainment System,"7,800",Geoffrey Lin
Bust-A-Move,NTSC - Points,Super Nintendo Entertainment System,"4,165,910",John Pompa
Bust-A-Move Bash,Endless Mode - Points,Nintendo Wii,"1,199,080",Shawne Vinson
Bust-A-Move Bash,Puzzle Mode - Points,Nintendo Wii,"156,113,600",Shawne Vinson
Bust-A-Move Bash,Shooting Mode - Points,Nintendo Wii,161,Shawne Vinson
Cabal,NTSC - Points,Nintendo Entertainment System,"252,130",Kyle Goewert
Cabal,NTSC - Points,Nintendo Entertainment System,"116,540",Eric Cummings
6-In-1 [Caltron/Myriad],NTSC - Adam & Eve [Points],Nintendo Entertainment System,"185,700",Kyle Goewert
6-In-1 [Caltron/Myriad],NTSC - Adam & Eve [Points],Nintendo Entertainment System,"123,600",Nik Meeks
6-In-1 [Caltron/Myriad],NTSC - Adam & Eve [Points],Nintendo Entertainment System,"58,500",Mr. Kelly R. Flewin
6-In-1 [Caltron/Myriad],NTSC - Cosmo Cop [Points],Nintendo Entertainment System,"32,000",Kyle Goewert
6-In-1 [Caltron/Myriad],NTSC - Cosmo Cop [Points],Nintendo Entertainment System,"14,200",Nik Meeks
6-In-1 [Caltron/Myriad],NTSC - Cosmo Cop [Points],Nintendo Entertainment System,"9,400",Mr. Kelly R. Flewin
California Games,NTSC - BMX [Points],Nintendo Entertainment System,"132,710",James Schuenemeyer
California Games,NTSC - Flying Disk [Points],Nintendo Entertainment System,640,Marc Cohen
California Games,NTSC - Flying Disk [Points],Nintendo Entertainment System,640,James Schuenemeyer
California Games,NTSC - Flying Disk [Points],Nintendo Entertainment System,630,Robert Garner Jr
California Games,NTSC - Flying Disk [Points],Nintendo Entertainment System,640,James Schuenemeyer
California Games,NTSC - Flying Disk [Points],Nintendo Entertainment System,640,Marc Cohen
California Games,NTSC - Flying Disk [Points],Nintendo Entertainment System,630,Robert Garner Jr
California Games,NTSC - Footbag [Points],Nintendo Entertainment System,"202,770",James Schuenemeyer
California Games,NTSC - Footbag [Points],Nintendo Entertainment System,"201,260",Jay Purvis
California Games,NTSC - Footbag [Points],Nintendo Entertainment System,"196,760",Samuel Kempf
California Games,NTSC - Footbag [Points],Nintendo Entertainment System,"167,280",Brian Sulpher
California Games,NTSC - Footbag [Points],Nintendo Entertainment System,"160,260",Robert Garner Jr
California Games,NTSC - Half Pipe [Points],Nintendo Entertainment System,"25,496",Marc Cohen
California Games,NTSC - Half Pipe [Points],Nintendo Entertainment System,"25,496",James Schuenemeyer
California Games,NTSC - Half Pipe [Points],Nintendo Entertainment System,"25,329",Robert Garner Jr
California Games,NTSC - Half Pipe [Points],Nintendo Entertainment System,"24,730",Brian Sulpher
California Games,NTSC - Skating [Points],Nintendo Entertainment System,"6,190",James Schuenemeyer
California Games,NTSC - Skating [Points],Nintendo Entertainment System,"5,020",Robert Garner Jr
California Games,NTSC - Skating [Points],Nintendo Entertainment System,"2,570",Nik Meeks
California Games,NTSC - Skating [Points],Nintendo Entertainment System,"1,610",Brian Sulpher
California Games,NTSC - Surfing [Points],Nintendo Entertainment System,9,Brian Sulpher
California Games,NTSC - Surfing [Points],Nintendo Entertainment System,9,Robert Garner Jr
California Games,NTSC - Surfing [Points],Nintendo Entertainment System,9,James Schuenemeyer
California Games,PAL - BMX [Points],Nintendo Entertainment System,"53,990",Andrew Mee
California Games,PAL - Footbag [Points],Nintendo Entertainment System,"98,290",Andrew Mee
California Games,Commodore 64 - Footbag [Points],Nintendo Wii Virtual Console,"4,350",Jeffrey Widzinski
California Games,Commodore 64 - Surfing [Points],Nintendo Wii Virtual Console,3,Jeffrey Widzinski
California Games II,NTSC - Body Boarding [Points],Super Nintendo Entertainment System,"15,800",John Brissie
California Games II,NTSC - Hang Gliding [Points],Super Nintendo Entertainment System,"10,500",John Brissie
California Games II,NTSC - Jet Surfing [Points],Super Nintendo Entertainment System,"40,300",John Brissie
California Games II,NTSC - Skate Boarding [Points],Super Nintendo Entertainment System,"12,000",John Brissie
California Games II,NTSC - Snow Boarding [Points],Super Nintendo Entertainment System,"162,300",Jonathan Adams
California Games II,NTSC - Snow Boarding [Points],Super Nintendo Entertainment System,"26,200",John Brissie
California Games II,NTSC - Total Points,Super Nintendo Entertainment System,"72,300",John Brissie
Call of Duty: Black Ops,Zombies - Kino Der Toten - Points,Nintendo Wii,"47,890",John Lundrigan
Captain America & The Avengers,NTSC - Points,Super Nintendo Entertainment System,"18,700",Josh Bowen
Captain Skyhawk,NTSC - Points,Nintendo Entertainment System,"1,318,500",Tim Schauer
Captain Skyhawk,NTSC - Points,Nintendo Entertainment System,"539,860",John Matthews
Captain Skyhawk,NTSC - Points,Nintendo Entertainment System,"490,410",Nik Meeks
Captain Skyhawk,NTSC - Points,Nintendo Entertainment System,"484,161",Brian Sulpher
Captain Skyhawk,NTSC - Points,Nintendo Entertainment System,"124,000",Ron Corcoran
Castelian / Kyorochan Land / Nebulus / Tower Toppler,NTSC - Points,Nintendo Entertainment System,"107,326",Ryan Johnson
Castelian / Kyorochan Land / Nebulus / Tower Toppler,NTSC - Points,Nintendo Entertainment System,"78,058",Gary Hatt
Castelian / Kyorochan Land / Nebulus / Tower Toppler,NTSC - Points,Nintendo Entertainment System,"48,879",Tom Duncan
Castelian / Kyorochan Land / Nebulus / Tower Toppler,NTSC - Points,Nintendo Entertainment System,"12,805",Mr. Kelly R. Flewin
720 Degrees,NTSC - Points,Nintendo Entertainment System,"1,064,600",Eric Schafer
720 Degrees,NTSC - Points,Nintendo Entertainment System,"66,050",Jason Kelly
720 Degrees,NTSC - Points,Nintendo Entertainment System,"23,450",Nik Meeks
720 Degrees,NTSC - Points,Nintendo Entertainment System,"20,850",Mr. Kelly R. Flewin
8 Eyes,NTSC - Points,Nintendo Entertainment System,"19,200",Mickey Thomas
Castlequest,NTSC - Points,Nintendo Entertainment System,"177,100",Tom Votava
Castlevania,NTSC - Points,Nintendo Entertainment System,"11,815,540",Juan Castellanos
Castlevania,NTSC - Points,Nintendo Entertainment System,"10,000,000",Tom Votava
Castlevania,NTSC - Points,Nintendo Entertainment System,"2,658,090",Ian Greenwood
Castlevania,NTSC - Points,Nintendo Entertainment System,"1,835,410",Andrew Furrer
Castlevania,NTSC - Points,Nintendo Entertainment System,"1,294,230",Daryl Kiddey
Castlevania,NTSC - Points,Nintendo Entertainment System,"999,990",Mike Morrow
Castlevania,NTSC - Points,Nintendo Entertainment System,"999,990",Jeff Adkins
Castlevania,NTSC - Points,Nintendo Entertainment System,"999,960",Stephen Krogman
Castlevania,NTSC - Points,Nintendo Entertainment System,"190,610",David Sulger
Castlevania,NTSC - Points,Nintendo Entertainment System,"139,180",Mike Soares Jr
Castlevania,NTSC - Points,Nintendo Entertainment System,"95,330",Chris Coats
Castlevania,NTSC - Points,Nintendo Entertainment System,"90,310",Jared Oswald
Castlevania,NTSC - Points,Nintendo Entertainment System,"54,480",Ron Corcoran
Castlevania,NES - Points,Nintendo Wii Virtual Console,"1,108,970",Andrew Furrer
Castlevania,NES - Points,Nintendo Wii Virtual Console,"53,120",Jeffrey Widzinski
Castlevania,NES - Points,Nintendo Wii Virtual Console,"27,430",Christopher Tirpak
Castlevania III: Dracula's Curse,NTSC - Points,Nintendo Entertainment System,"999,999",Tom Votava
Castlevania III: Dracula's Curse,NTSC - Points,Nintendo Entertainment System,"999,999",Rudy Ferretti
Castlevania III: Dracula's Curse,NTSC - Points,Nintendo Entertainment System,"366,560",Andrew Furrer
